code|answers|content|note
CB21.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения стоимости фондирования?|
CB21.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к повышению ставки по инструменту?|
CB21.3||Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к понижению ставки по инструменту?|
CB21.4||Процентная ставка меняется в зависимости от изменения рыночных котировок (котировки на фондовых, валютных, сырьевых рынках, цены на товары/услуги)?|
CB21.5||Выявлены прочие компоненты и параметры процентной ставки?|
CB21.5.1||Влияние элемента на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
CB22||Присутствует ли в условиях эмиссии условие о компенсации при продлении срока действия инструмента?|
CB23||Компенсация за продление срока действия инструмента не превышает 5% от пролонгируемой суммы обязательств Эмитента на дату пролонгации?|
CB23.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Компенсация за пролонгацию обуславливается дополнительными экономически обоснованными расходами Банка (административные расходы)?|
CB23.2||Компенсация за пролонгацию отражает изменение рыночных котировок на фондовых (по иным инструментам отличным от тестируемого), валютных и сырьевых рынках?|
CB23.3||Выявлены иные факторы, влияющие на определение компенсации?|
CB23.3.1||Иной фактор, влияющий на определение компенсации согласован с представителями УМО и признан проходящим SPPI-тест?|
CB24||Долговая ценная бумага выпущена SPV (например, еврооблигации)?|
CB25||Получена гарантия / поручительство материнской компании (конечного Заемщика), которая привлекает финансирование посредством облигационного выпуска через свою дочернюю компанию – SPV, являющуюся Эмитентом по данному выпуску?|
CB25.1||Материнская компания отнесена к риск-сегменту, отражающему проектный риск-профиль?|
CB25.2||Маркер свободной кредитоемкости материнской компании ? cтоимость долговой ценной бумаги?|
CB26||Получена гарантия / поручительство третьей стороны на полную сумму обязательств Эмитента по данному выпуску?|
CB26.1||Гарантия удовлетворяет требованиям п.2.6.3.7 ВНД №285-6-р; Поручительство удовлетворяет требованиям п. 2.6.3.6 ВНД №285-6р?|
CB27||Условиями эмиссии предусмотрено предоставление Эмитенту финансирования сроком до 1-го года?|
CB28||Эмитент отнесен к риск-сегменту, отражающему проектный риск-профиль?|
CB29||Маркер свободной кредитоемкости ? cтоимость долговой ценной бумаги?|
CB30||Права требования Банка ограничены определенными активами или денежными потоками от определенных активов Эмитента?|
CB31.1||Доля финансирования, предоставленная Банком, не превышает 70% от стоимости проекта ** в каждую единицу времени в течение всего срока финансирования?|
CB31.2||Эмитент (или Группа Эмитента) участвует в проекте в размере не менее 30% от стоимости проекта в течение всего срока договора (либо путем прямого участия в капитале Эмитента, либо посредством кредитов Эмитенту, которые субординированы по отношению к требованиям Банка)?|
CB31.3||Значение показателя «ЗалОб» превышает либо равно справедливой стоимости финансового актива на момент первоначального признания?|
CB32||Условия эмиссии предусматривают обязательство третьей стороны по поддержанию показателя ЗалОбМарж* на уровне не ниже 0,9 * Справедливая стоимость финансового актива?|
CB32.1||В соответствии с ВНД №3867-2/3 третья сторона имеет рейтинг не хуже 17?|
CB33||Условия эмиссии предусматривают зависимость потоков по инструменту (платежи по основному долгу и/или процентам) от изменения переменной/наступления условного события?|
CB34||Переменная/условное событие носит финансовый характер (например, зависимость потоков от индекса цен, котировок)?|
CB35||Нефинансовая переменная/ условное событие является специфичной только для одной из сторон отношений (Эмитента или Банка)?|
CB36||Переменная / условное событие приводит только к изменению графика, не меняя суммы основного долга, при этом проценты начисляются на фактический остаток долга?|
CB37||Изменение переменной/наступление условного события приводит к изменению суммы основного долга?|
CB38.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Денежные потоки по инструменту меняются в зависимости от изменения стоимости фондирования?|
CB38.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Денежные потоки по инструменту меняются в зависимости от изменения кредитных рисков, при этом рост риска ведет к повышению ставки по кредиту?|
CB38.3||Денежные потоки по инструменту меняются в зависимости от изменения кредитных рисков, при этом рост риска ведет к понижению ставки по кредиту?|
CB38.4||Выявлены прочие компоненты и параметры, влияющие на величину денежного потока?|
CB38.4.1||Влияние элемента на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
CB39||Долговой инструмент содержит характеристики ПФИ или ссылки на другие договоры ПФИ?|
CB40||ПФИ заключен с другим контрагентом (третьей стороной, не являющейся стороной отношений)?|
CB41||Договор ПФИ может быть передан независимо от финансового инструмента?|
CB42||ГИ предусматривает возможность получения права погашения передачей долевых инструментов (Эмитента или третьей стороны)?|
CB43||Передача долевых инструментов осуществляется в счет погашения основной суммы долга и начисленных процентов (конвертация долга в долевые инструменты или ПФИ на долевой инструмент)?|
CB44||Передача долевых инструментов Банку в собственность осуществляется в дату первоначального признания долгового инструмента в качестве единовременной комиссии за финансирование («upfront fee»)?|
CB45||Конвертация обязательств в долевые инструменты осуществляется по фиксированной цене (а не по цене на дату погашения) и/или в фиксированном количестве?|
CB46||По условиям эмиссии параметры передаваемых в счет погашения долевых инструментов варьируются таким образом, что на дату погашения их стоимость будет по существу представлять погашаемую основную сумму долга плюс начисленные на эту сумму проценты?|
CB47||Передаваемые долевые инструменты относятся к Уровню 2 или 3 иерархии справедливой стоимости, применяемой Банком для определения и раскрытия справедливой стоимости финансовых инструментов?|
CB48||По результатам анализа УМО передаваемые долевые инструменты определены как высоколиквидные и с учетом прочих условий инструмента могут рассматриваться в качестве средства платежа?|
CB49|{'yes':'Да, ГИ содержит компонент, изменяющий <ins>только </ins> процентную ставку/порядок расчета процентных платежей','with_component':'Нет,предусмотрены условия, изменяющие процентную ставку И С установлением "шага"/степени изменения ставки, И БЕЗ установления "шага"/степени изменения ставки','no_component':'Нет, возможно изменения ставки, но условия устанавливают "шаг" изменения и/или степень','no':'Нет, инструментом не предусмотрены условия, изменяющие ставку'}|ГИ содержит компонент, изменяющий только процентную ставку/порядок расчета процентных платежей?|
CB49.1.1||Данный компонент представлен в виде «кэп» / «флор», которые снижают волатильность процентных платежей по ГИ?|
CB49.1.2||Данный компонент представлен в виде «кэп» / «флор», которые снижают волатильность процентных платежей по ГИ?|
CB50.1|{'fixed':'Фиксированная','floating':'Плавающая'}|Какая процентная ставка применяется к инструменту?|
CB51.1.1||Отражает ли базовая ставка / индекс инфляции (в случае индексации ставки на уровень инфляции) временную стоимость денег в валюте инструмента? (Например, Libor для USD, индекс инфляции в РФ для RUB)|
CB51.2.1||Содержат ли условия эмиссии инверсированную плавающую процентную ставку? (например, Х% - Libor)|
CB51.3.1||Присутствует ли эффект рычага в отношении ставки? (К*Libor, где К > 1)|
CB51.4.1||Дата начала процентного периода соответствует дате котировки?|
CB51.5.1||Срок базовой ставки соответствует частоте ее пересмотра?|
CB51.6.1||Наличие прочих условий, которые модифицируют элемент временной стоимости денег?|
CB51.7.1.1||Качественный анализ модифицированного элемента временной стоимости денег по инструменту указывает на то, что инструмент отвечает критерию SPPI?|
CB51.7.2.1||Отклонение в потоках по всем сценариям за любой отчетный период и кумулятивно на весь срок действия инструмента равно или превышает 10%?|
CB52.1.1|{'yes':'Да, инструментом предусмотрены условия, согласно которым возможно изменение ставки, при этом условия Не устанавливаю "шаг" изменения и/или степень изменения ставки','no_with_condition':'Нет,предусмотрены условия, изменяющие процентную ставку И С установлением "шага"/степени изменения ставки, И БЕЗ установления "шага"/степени изменения ставки','no_with_step':'Нет, возможно изменения ставки, но условия устанавливают "шаг" изменения и/или степень','no_not_condition':'Нет, инструментом не предусмотрены условия, изменяющие ставку'}|Предусмотрена ли условиями эмиссии возможность изменения процентной ставки, при этом условиями НЕ устанавливается «шаг» изменения и/или степень зависимости ставки от наступления условного события?|
CB52.2.1.1||Условиями предусмотрено право досрочного погашения в случае пересмотра ставки?|
CB52.2.2.1||Условиями предусмотрено право досрочного погашения в случае пересмотра ставки?|
CB53.1.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения стоимости фондирования?|
CB53.2.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к повышению ставки по инструменту?|
CB53.3.1||Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к понижению ставки по инструменту?|
CB53.4.1||Процентная ставка меняется в зависимости от изменения рыночных котировок (котировки на фондовых, валютных, сырьевых рынках, цены на товары/услуги)?|
CB53.5.1||Выявлены прочие компоненты и параметры процентной ставки?|
CB53.5.1.1||Влияние элемента на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
CB50.2|{'fixed':'Фиксированная','floating':'Плавающая'}|Какая процентная ставка применяется к инструменту?|
CB51.1.2||Отражает ли базовая ставка / индекс инфляции (в случае индексации ставки на уровень инфляции) временную стоимость денег в валюте инструмента? (Например, Libor для USD, индекс инфляции в РФ для RUB)|
CB51.2.2||Содержат ли условия эмиссии инверсированную плавающую процентную ставку? (например, Х% - Libor)|
CB51.3.2||Присутствует ли эффект рычага в отношении ставки? (К*Libor, где К > 1)|
CB51.4.2||Дата начала процентного периода соответствует дате котировки?|
CB51.5.2||Срок базовой ставки соответствует частоте ее пересмотра?|
CB51.6.2||Наличие прочих условий, которые модифицируют элемент временной стоимости денег?|
CB51.7.1.2||Качественный анализ модифицированного элемента временной стоимости денег по инструменту указывает на то, что инструмент отвечает критерию SPPI?|
CB51.7.2.2||Отклонение в потоках по всем сценариям за любой отчетный период и кумулятивно на весь срок действия инструмента равно или превышает 10%?|
CB52.1.2|{'yes':'Да, инструментом предусмотрены условия, согласно которым возможно изменение ставки, при этом условия Не устанавливаю "шаг" изменения и/или степень изменения ставки','no_with_condition':'Нет,предусмотрены условия, изменяющие процентную ставку И С установлением "шага"/степени изменения ставки, И БЕЗ установления "шага"/степени изменения ставки','no_with_step':'Нет, возможно изменения ставки, но условия устанавливают "шаг" изменения и/или степень','no_not_condition':'Нет, инструментом не предусмотрены условия, изменяющие ставку'}|Предусмотрена ли условиями эмиссии возможность изменения процентной ставки, при этом условиями НЕ устанавливается «шаг» изменения и/или степень зависимости ставки от наступления условного события?|
CB52.2.1.2||Условиями предусмотрено право досрочного погашения в случае пересмотра ставки?|
CB52.2.2.2||Условиями предусмотрено право досрочного погашения в случае пересмотра ставки?|
CB53.1.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения стоимости фондирования?|
CB53.2.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к повышению ставки по инструменту?|
CB53.3.2||Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к понижению ставки по инструменту?|
CB53.4.2||Процентная ставка меняется в зависимости от изменения рыночных котировок (котировки на фондовых, валютных, сырьевых рынках, цены на товары/услуги)?|
CB53.5.2||Выявлены прочие компоненты и параметры процентной ставки?|
CB53.5.1.2||Влияние элемента на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
CB54||ГИ содержит компонент, который приводит к конвертации обязательств в другую валюту?|
CB55||Валюта обязательств изменяется по спот-курсу на дату конвертации?|
CB56|{'fixed':'Фиксированная','floating':'Плавающая'}|Какая процентная ставка применяется к инструменту после конвертации?|
CB57.1||Отражает ли базовая ставка / индекс инфляции (в случае индексации ставки на уровень инфляции) временную стоимость денег в валюте инструмента? (Например, Libor для USD, индекс инфляции в РФ для RUB)|
CB57.2||Содержат ли условия эмиссии инверсированную плавающую процентную ставку? (например, Х% - Libor)|
CB57.3||Присутствует ли эффект рычага в отношении ставки? (К*Libor, где К > 1)|
CB57.4||Дата начала процентного периода соответствует дате котировки?|
CB57.5||Срок базовой ставки соответствует частоте ее пересмотра?|
CB57.6||Наличие прочих условий, которые модифицируют элемент временной стоимости денег?|
CB57.7.1||Качественный анализ модифицированного элемента временной стоимости денег по инструменту указывает на то, что инструмент отвечает критерию SPPI?|
CB57.7.2||Отклонение в потоках по всем сценариям за любой отчетный период и кумулятивно на весь срок действия инструмента равно или превышает 10%?|
CB58.1|{'yes':'Да, инструментом предусмотрены условия, согласно которым возможно изменение ставки, при этом условия Не устанавливаю "шаг" изменения и/или степень изменения ставки','no_with_condition':'Нет,предусмотрены условия, изменяющие процентную ставку И С установлением "шага"/степени изменения ставки, И БЕЗ установления "шага"/степени изменения ставки','no_with_step':'Нет, возможно изменения ставки, но условия устанавливают "шаг" изменения и/или степень','no_not_condition':'Нет, инструментом не предусмотрены условия, изменяющие ставку'}|Предусмотрена ли условиями эмиссии возможность изменения процентной ставки, при этом условиями НЕ устанавливается «шаг» изменения и/или степень зависимости ставки от наступления условного события?|
CB58.2.1||Условиями предусмотрено право досрочного погашения в случае пересмотра ставки?|
CB58.2.2||Условиями предусмотрено право досрочного погашения в случае пересмотра ставки?|
CB59.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения стоимости фондирования?|
CB59.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к повышению ставки по инструменту?|
CB59.3||Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к понижению ставки по инструменту?|
CB59.4||Процентная ставка меняется в зависимости от изменения рыночных котировок (котировки на фондовых, валютных, сырьевых рынках, цены на товары/услуги)?|
CB59.5||Выявлены прочие компоненты и параметры процентной ставки?|
CB59.5.1||Влияние элемента на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
CB60|{'yes':'Да','no':'Нет, компонент отсутствует'}|ГИ содержит компонент, который изменяет сроки возникновения потоков, не меняя суммы основного долга, при этом проценты начисляются на фактический остаток долга?|
CB61|{'yes':'Да','no':'Нет, компонент отсутствует','no_amount_update':'Нет, сумма обязательств изменяется в зависимости от инфляции, но ИИ<>Валюте договора или присутсвует эффект рычага'}|ГИ содержит компонент, который приводит к изменению суммы обязательств Эмитента в зависимости от индекса инфляции (при этом индекс инфляции соответствует валюте договора и отсутствует эффект рычага)?|
CB62||ГИ содержит компонент, который приводит к изменению суммы обязательств Заемщика в зависимости от котировок на фондовых, валютных или сырьевых рынках?|
CB63||ГИ содержит компоненты, которые приводят к изменению суммы обязательств Заемщика в зависимости от прочих факторов?|
CB63.1||Прочие факторы согласованы с УМО и признаны проходящими SPPI-тест?|
CB64||Инструмент отвечает прочим критериям связанности с другими инструментами, которые бы обуславливали возможность совместного учета таких инструментов? Основные критерии:- договоры подписаны в одну дату; - договоры заключены с одним и тем же контрагентом;- договоры подвержены одинаковым рискам;- нет обоснованной экономической потребности или бизнес-цели учитывать инструменты отдельно.|
CB65||По итогам анализа совокупность инструментов представляет собой ПФИ?|
