id|code|answers|content|note
411|CIP7.3||Процентная ставка меняется в зависимости от наличия и объема кросс-продаж?|Например: "Банк вправе увеличить размер процентной ставки на 2 (Два) процента годовых, в случае не выполнения условия поддержания среднедневных остатков по счетам Заемщика в Банке"
412|CIP7.3.1||Договор предусматривает право заемщика на досрочное погашение кредита (в т.ч. в случае увеличения процентной ставки)?|Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки при невыполнении условий кросс-продаж.
413|CIP7.3.2||Элемент кросс-продаж отвечает характеристикам, приведенным в мотивированном суждении Банка об изменении процентной ставки в зависимости от кросс-продаж?|
414|CIP7.3.3||Влияние элемента кросс-продаж на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
415|CIP7.4||Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к понижению ставки по кредиту?|Ответ  "Да", если договором предусмотрено условие, снижающее процентную ставку на определенное количество процентных пунктов при росте кредитных рисков.<br><br>Например:<br><br>"В случае отсутствия страхования залогового обеспечения в аккредитованных страховых компаниях, процентная ставка по договору снижается на 2%"
416|CIP7.5||Процентная ставка меняется в зависимости от изменения рыночных котировок (котировки на фондовых, валютных, сырьевых рынках, цены на товары/услуги)?|Например:<br><br>"По кредитному договору установлена фиксированная процентная ставка 8%. Условием договора предусмотрено, что если за предыдущий процентный период средний курс EUR превысит значение 84 рубля, то процентная ставка составит 12%"
417|CIP7.6||Выявлены прочие компоненты и параметры процентной ставки?|
418|CIP7.6.1||Влияние элемента на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
419|CIP8||Предусмотрена ли договором опция досрочного погашения?|Ответ "Да", если договором предусмотрена возможность досрочного исполнения обязательств Заемщиком.
420|CIP9||Кредитор приобрел/создал финансовый актив с премией или дисконтом по отношению к договорной номинальной стоимости?|Например:<br><br>Банком приобретены права требования на сумму 1 000 тыс. рублей за 700 тыс. рублей.
421|CIP10||Максимально возможная сумма досрочного платежа с учетом компенсации меньше или равна сумме договорной номинальной стоимости плюс контрактные (но не выплаченные) проценты на оставшийся срок кредитования (до контрактной даты погашения), при этом компенсация за досрочное погашения не включает в себя компенсацию за прекращение связанной сделки хеджирования?|Ответ "Да", если договором предусмотрено, что при досрочном погашении сумма досрочного погашения не превышает основной суммы долга плюс накопленный процент на оставшийся (с даты погашения) срок кредитования.<br><br>Например:<br><br>Если по условиям договора, при досрочном погашении, Заемщик должен погасить основной долг, начисленные (но не выплаченные проценты) и комиссию за досрочное погашения, которая рассчитывается в процентах годовых от досрочно возвращаемой суммы кредита, начисляемой за период с фактической даты погашения (не включая эту дату) до плановой даты погашения, установленной Договором (включительно).<br><br>В случаях, если при досрочном погашении взимаются суммы сверх тех, что представлены в примере, то ответ "Нет". Если досрочное погашение осуществляется по схеме, представленной в примере, или комиссия за досрочное погашение отсутствует, то ответ "Да".
422|CIP11.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Компенсация за досрочное погашение устанавливается как разница между справедливой стоимостью* долгового инструмента и основной суммой долга плюс накопленный процент на дату погашения (в случае если договором предусмотрено досрочное погашение по справедливой стоимости)?|Ответ "Да", если договором предусмотрено, что сумма к досрочному погашению рассчитывается как приведенная стоимость будущих выплат предусмотренных договором основной суммы долга и процентов, дисконтированных по текущей рыночной ставке на дату досрочного погашения
423|CIP11.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Компенсация за досрочное погашение обуславливается дополнительными экономически обоснованными расходами Кредитора (административные расходы)?|Ответ "Да", если в величину компенсации за досрочное погашение прямо или косвенно включаются административные расходы Банка.
424|CIP11.3|{'yes':'Да','no':'Нет, условие отсутствует'}|Компенсация за досрочное погашение обуславливается расходами за досрочное прекращение связанного инструмента, хеджирующего исключительно процентный риск по сделке и не приводящего к возникновению контрактных потоков, не отвечающих критерию SPPI?|Ответ "Да", в случае если выполняются оба условия:<br><br>1) Для данного кредита заключена сделка, хеджирующая процентные риски. <br><br>Например:<br><br>Банк выдал 3-летний кредит в сумме 10 000 долларов США по плавающей ставке – Libor 3M + 4%. Одновременно с выдачей кредита Банк заключил на рынке хеджирующую сделку - процентный своп -  по замене плавающей ставки Libor 3M + 4% на фиксированную ставку 5%.<br><br>2) Согласно условиям договора, при досрочном погашении - Заемщик компенсирует расходы Банка по досрочному прекращению заключенной сделки хеджирования.
425|CIP11.4||Компенсация за досрочное погашение обуславливается расходами за досрочное прекращение связанного инструмента, хеджирующего прочие риски (не процентный)?|Ответ "Да", в случае если выполняются оба условия:<br><br>1) Для данного кредита заключена сделка, хеджирующая процентные риски.<br><br>Например:<br><br>Банк выдал 3-летний кредит в сумме 10 000 долларов США по плавающей ставке – Libor 3M + 4%. Одновременно с выдачей кредита Банк заключил на рынке хеджирующую сделку - валютный своп по замене валюты обязательства.<br><br>2) Согласно условиям договора, при досрочном погашении - Заемщик компенсирует расходы Банка по досрочному прекращению заключенной сделки хеджирования.
426|CIP11.5||Компенсация за досрочное погашение отражает изменение рыночных котировок на фондовых (по иным инструментам отличным от тестируемого), валютных и сырьевых рынках?|Например:<br><br>Кредитным договором предусмотрено, что если в момент досрочного погашения (включая частичное погашение) рыночная котировка на нефть превышает 60 долларов США за баррель, то сумма, подлежащая погашению Заемщиком, рассчитывается как произведение двух множителей:<br><br>- сумма досрочно погашаемого основного долга и процентов, начисленных (но не выплаченных) на дату досрочного погашения на погашаемую сумму основного долга, и<br><br>- отношение стоимости барреля нефти на дату погашения к 60 долларам США.<br>В случае, если на дату досрочного погашения, цена на нефть не превысит 60 долларов США за баррель, то взимается фиксированная компенсация в размере 3% от досрочно погашаемой суммы.
427|CIP11.6||Выявлены иные факторы, влияющие на определение компенсации?|
428|CIP11.6.1||Иной фактор, влияющий на определение компенсации согласован с представителями УМО и признан проходящим SPPI-тест?|
429|CIP12.1||Анализируемым финансовым активом является кредит, приобретенный со значительным дисконтом <b>ПРИ ЭТОМ</b> кредитный рейтинг Заемщика не хуже 17?|Ответ "Да", если Банком приобретена ссудная задолженность номинал которой на 10% превышает цену приобретения такой задолженности. При этом кредитный рейтинг Должника по договору не хуже 17.
430|CIP12.2||Анализируемым финансовым активом является кредит, приобретенный со значительной премией <b>ПРИ ЭТОМ<b> кредитный рейтинг Заемщика не хуже 17, а досрочное погашение возможно по решению Заемщика?|Ответ "Да", если Банком приобретена ссудная задолженность номинал которой на 10% ниже цены приобретения такой задолженности. При этом кредитный рейтинг Должника по договору не хуже 17 и Должник может по собственному решению произвести досрочное погашение задолженности.
431|CIP12.3||Анализируемым финансовым активом является кредит со ставками выше рыночных?|Ответ "Да", если согласно проведенному тесту на рыночность ставка по кредиту признается выше рыночной.
432|CIP12.4||Согласно мотивированному суждению ответственного подразделения вероятность досрочного погашения финансового актива, приобретенного с премией или дисконтом является незначительной?|
433|CIP13||Содержит ли договор опцию продления срока действия?|Ответ "Да", при наличии в договоре условия пролонгировать срок действия договора.
434|CIP14||Есть ли у Кредитора безусловное право отказать Заемщику в продлении кредита?|Ответ "Да", если договором предусмотрена возможность пролонгации договора, но при этом у Банка есть безусловное право отказать контрагенту в пролонгации.<br><br>Например:<br><br>Положения договора предусматривают возможность Заемщика обратиться в Банк (не позднее чем за 3 месяца до контрактной даты погашения) с заявкой на пролонгацию кредита. При этом у Банка отсутствует обязательство пролонгировать такой договор.
435|CIP15||Стороны согласовывают основные параметры кредита (в т.ч., процентную ставку) на период продления в дату пролонгации?|К существенным параметрам сделки относятся: срок, ставка и график платежей.
436|CIP16||Какая процентная ставка применяется к инструменту <b><ins>на пролонгированный период<ins><b>?|<i>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.<ins><br><br>"Плавающая" ставка задается формулой. Например:  "LIBOR 3M USD + 4%".<br><br>При этом, не является "плавающей" ставка, которая задается конкретным числовым значением, но может меняться в зависимости от (не)наступления условных событий. То есть, в случае если ставка является "переменной", то ответ "фиксированная".
437|CIP17.1||Отражает ли базовая ставка / индекс инфляции (в случае индексации ставки на уровень инфляции) временную стоимость денег в валюте договора? (Например, Libor для USD, индекс инфляции в РФ для RUB)|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.<ins><br><br>Если валюта договора отличается от валюты базового индикатора, определенных на период пролонгации, то указывается ответ "Нет". Например, по сделке в USD на период пролонгации предусмотрено начисление процентов по плавающей ставке с базовым индикатором Mosprime - в таком случае ответ "Нет".
438|CIP17.2||Содержит ли договор инверсированную плавающую процентную ставку?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.</ins><br><br>Инверсированная ставка - это плавающая ставка, изменяющаяся в направлении обратном к изменениям значений базового индикатора. То есть, чем больше значение базового индикатора, тем меньше значение процентной ставки по сделке.<br><br>Пример:<br><br>В соответствии с условиями кредита, номинированного в долларах США, процентная ставка на период пролонгации рассчитывается как: «10% - Libor 3M», то есть ставка на процентный период равна разнице между фиксированной маржой и значением Libor 3M. Таким образом, чем больше значение базового индикатора, тем меньше процентная ставка по сделке.
439|CIP17.3||Присутствует ли эффект рычага в отношении ставки?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.</ins><br>Если при расчете величины процентной ставки по сделке с плавающей процентной ставкой перед базовым индикатором присутствует коэффициент, величина которого по модулю > 1, то ответ "Да".<br><br>Например:<br>Если базовая ставка задается как "LIBOR 3M USD", то коэффициент = 1 - ответ "Нет"<br>Если базовая ставка задается как "4 * LIBOR 3M USD", то коэффициент = 4 - ответ "Да"<br>Если базовая ставка задается как "-3 * LIBOR 3M USD", то коэффициент = -3 - ответ "Да".
440|CIP17.4||Дата начала процентного периода соответствует дате котировки?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.</ins><br><br>Например: По кредиту со сроком действия 5 лет, установлена плавающая ставка MosPrime3M+4%. Расчет процентов к начислению производится ежеквартально на начало процентного периода на основании значения базовой ставки MosPrime3M, установленной на начало предыдущего процентного периода.<br><br>Таким образом, для расчета процентных платежей на 01.04.2017 используется котировка MosPrime3M на дату 01.01.2017 - ответ "Нет".
441|CIP17.5||Срок базовой ставки соответствует частоте ее пересмотра?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.</ins><br><br>Например:<br><br>Если по сделке, применяется плавающая процентная ставка, которая определяется как MosPrime3M + 2%, и значение котировки базового индикатора MosPrime3M определяется (актуализируется) ежеквартально (то есть каждые 3 месяца), то ответ - "Да".<br><br>Если по сделке применяется плавающая процентная ставка, которая определяется как MosPrime3M + 2%, и значение котировки базового индикатора MosPrime3M  определяется (актуализируется) раз в полгода (то есть каждые 6 месяцев), то ответ - "Нет".<br><br>Если по сделке применяется плавающая процентная ставка, которая рассчитывается как среднеарифметическое ставок MosPrime3M и MosPrime12M, то срочность базового индикатора определить невозможно и ответ также - "Нет".
442|CIP17.6||Наличие прочих условий, которые модифицируют элемент временной стоимости денег?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.</ins><br>Например:<br>1) условие, предусматривающее периодический пересмотр процентной ставки по активу до среднего значения определённых краткосрочных и долгосрочных ставок;<br><br>2) условие, предусматривающее пересмотр процентной ставки на полугодовой основе до уровня, отражающего текущее значение кривой доходности по инструментам с пятилетним сроком погашения.
443|CIP17.7.1||Разница между датой начала процентного периода и котировкой базового индикатора не превышает 30 дней или используется наиболее актуальная из возможных котировок?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.<ins><br><br>Разница между датой начала процентного периода и котировкой базового индикатора не превышает 30 дней или используется наиболее актуальная из возможных котировок?
444|CIP17.7.2||Отклонение в графике платежей по всем возможным сценариям за любой отчетный период и на весь срок действия договора равно или превышает 10%? (Выявляется при прохождении Benchmark-Теста)?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.</ins><br><br>Если Benchmark-тест не пройден, то ставится "Да"
445|CIP18.1|{'yes':'<b>Да</b>, возможно изменение ставки, при этом договор <b><ins>НЕ устанавливает</ins></b> шаг  изменения и/или степень изменения ставки ','no_with_condition':'<b>Нет</b>, предусмотрены условия, изменяющие  процентную ставку <b><ins>И С установлением</ins></b> шага/степени изменения ставки,<ins><b> И БЕЗ установления </ins></b> шага/степени изменения ставки','no_with_step':'<b>Нет</b>, возможно изменение ставки, но договор устанавливает шаг изменения и/или степень ','no_not_condition':'<b>Нет</b>, в договоре нет условий, изменяющих ставку'}|Предусмотрено ли договором безусловное или условное право Кредитора изменять процентную ставку, при этом договор <b><ins>НЕ устанавливает </ins></b> «шаг» изменения и/или степень зависимости ставки от наступления условного события?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.</ins><br><br>1) Ответ на вопрос "Нет, возможно изменение ставки, но договор устанавливает «шаг» изменения и/или степень", в случаях если договором предусмотрены условия, изменяющие процентную ставку и при этом установлен шаг/степень изменения ставки. Например, таким условием будет являться: "В случае отсутствия страхования залога в аккредитованных страховых компаниях, процентная ставка по договору увеличивается на 2%";<br><br>2) Ответ на вопрос "Да, возможно изменение ставки, при этом договор НЕ устанавливает «шаг» изменения и/или степень изменения ставки", в случаях если договором предусмотрены условия, изменяющие процентную ставку, но при этом шаг/степень изменения ставки не установлен. Например, таким условием будет являться: "Банк оставляет за собой право в одностороннем порядке производить изменение ставки по договору в том числе, но не исключительно, при условии принятия Банком России решения об изменении ключевой ставки";<br><br>3) Ответ на вопрос "Нет, предусмотрены условия изменяющие процентную ставку И С установлением «шага»/степени изменения ставки, И БЕЗ установления «шага»/степени изменения ставки", в случаях если договором предусмотрены оба вида условий, описанных в пунктах 1 и 2;<br><br>4) Ответ на вопрос "Нет, в договоре нет условий, изменяющих ставку", в случаях если договором не предусмотрены условия, изменяющие величину процентной ставки.
446|CIP18.2.1||Соблюдаются ли следующие условия?<br><br>- Договором предусмотрено право досрочного погашения в случае пересмотра ставки со стороны Кредитора?<br>- В договоре отсутствует условие, которое прямо или косвенно ограничивает Заемщика в возможности рефинансировать задолженность в другом банке?<br>- Рынок банковских услуг, в рамках которого оперирует Заемщик, является конкурентным (т.о., обеспечивая Заемщику возможность рефинансирования и сдерживая необоснованный рост ставок)?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.<ins><br><br>Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки со стороны Банка.
447|CIP18.2.2||Соблюдаются ли следующие условия?<br><br>- Договором предусмотрено право досрочного погашения в случае пересмотра ставки со стороны Кредитора?<br>- В договоре отсутствует условие, которое прямо или косвенно ограничивает Заемщика в возможности рефинансировать задолженность в другом банке?<br>- Рынок банковских услуг, в рамках которого оперирует Заемщик, является конкурентным (т.о., обеспечивая Заемщику возможность рефинансирования и сдерживая необоснованный рост ставок)?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.<ins><br><br>Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки со стороны Банка.
448|CIP19.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения стоимости фондирования?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.</ins><br><br>Ответ "Да" если договором предусмотрено условие, изменяющее процентную ставку на определенное количество процентных пунктов в зависимости от изменения стоимости фондирования.<br><br>Например, Банк выдал Заемщику кредит в рамках программы стимулирования ипотечного кредитования. Процентная ставка по кредитному договору составляет 10%. В рамках программы Банк вправе получить определенный объем средств у Банка России по сниженной (льготной) процентной ставке и направлять его на цели ипотечного кредитования. Условиями договора предусмотрено, что в случае приостановки или прекращения действия программы по любой причине в течение действия кредитного договора (в том числе, если Заемщик перестал удовлетворять критериям участника программы), процентная ставка по кредитному договору увеличивается до 11%.
449|CIP19.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к повышению ставки по кредиту?|Например:<br><br>"В случае отсутствия страхования залогового обеспечения в аккредитованных страховых компаниях, процентная ставка по договору увеличивается на 2%".
450|CIP19.3||Процентная ставка меняется в зависимости от наличия и объема кросс-продаж?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.</ins><br><br>Например: "Банк вправе увеличить размер процентной ставки на 2 (Два) процента годовых, в случае не выполнения условия поддержания среднедневных остатков по счетам Заемщика в Банке"
451|CIP19.3.1||Договор предусматривает право заемщика на досрочное погашение кредита (в т.ч. в случае увеличения процентной ставки)?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.</ins><br><br>Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки при невыполнении условий кросс-продаж.
452|CIP19.3.2||Элемент кросс-продаж отвечает характеристикам, приведенным в мотивированном суждении Банка об изменении процентной ставки в зависимости от кросс-продаж?|
453|CIP19.3.3||Влияние элемента кросс-продаж на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
454|CIP19.4||Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к понижению ставки по кредиту?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.</ins><br><br>Ответ "Да", если договором предусмотрено условие, снижающее процентную ставку на определенное количество процентных пунктов при росте кредитных рисков.<br><br>Например:<br><br>1) "В случае отсутствия страхования залогового обеспечения в аккредитованных страховых компаниях, процентная ставка по договору снижается на 2%"
455|CIP19.5||Процентная ставка меняется в зависимости от изменения рыночных котировок (котировки на фондовых, валютных, сырьевых рынках, цены на товары/услуги)?|<ins>Данный вопрос применим к процентной ставке, устанавливаемой на период пролонгации.</ins><br><br>Например:<br><br>"По кредитному договору установлена фиксированная процентная ставка 8%. Условием договора предусмотрено, что если за предыдущий процентный период средний курс EUR превысит значение 84 рубля, то процентная ставка составит 12%"
456|CIP19.6||Выявлены прочие компоненты и параметры процентной ставки?|
457|CIP19.6.1||Влияние элемента на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
458|CIP20||Присутствует ли в договоре условие о компенсации при продлении срока действия договора?|
459|CIP21||Компенсация за продление срока действия договора не превышает 5% от пролонгируемой суммы обязательств Заемщика на дату пролонгации?|
460|CIP21.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Компенсация за пролонгацию обуславливается дополнительными экономически обоснованными расходами Кредитора (административные расходы)?|
